ID,SetNumber,URL,Images,Description,Notes,DashedNumber
7162,70657,https://www.lego.com/biassets/bi/6244612.pdf,https://www.lego.com/biassets/biimg/6244612.png,NINJAGO-TM City Docks,"BI 3019/376+4/65+200G, 70657 V29",70657-1
7163,70658,https://www.lego.com/biassets/bi/6245865.pdf,https://www.lego.com/biassets/biimg/6245865.png,Oni Titan,"BI 3017, 92+4/65, 70658 V29",70658-1
7164,70658,https://www.lego.com/biassets/bi/6245867.pdf,https://www.lego.com/biassets/biimg/6245867.png,Oni Titan,"BI 3017, 92+4/65, 70658 V39",70658-1
7165,70659,https://www.lego.com/biassets/bi/6270612.pdf,https://www.lego.com/biassets/biimg/6270612.png,Spinjitzu Kai,"BI 3001/32, 70659 V29",70659-1
7166,70659,https://www.lego.com/biassets/bi/6270614.pdf,https://www.lego.com/biassets/biimg/6270614.png,Spinjitzu Kai,"BI 3001/32, 70659 V39",70659-1
7167,70660,https://www.lego.com/biassets/bi/6270617.pdf,https://www.lego.com/biassets/biimg/6270617.png,Spinjitzu Jay,"BI 3001/32, 70660 V29",70660-1
7168,70660,https://www.lego.com/biassets/bi/6270618.pdf,https://www.lego.com/biassets/biimg/6270618.png,Spinjitzu Jay,"BI 3001/32, 70660 V39",70660-1
7169,70661,https://www.lego.com/biassets/bi/6270619.pdf,https://www.lego.com/biassets/biimg/6270619.png,Spinjitzu Zane,"BI 3001/32, 70661 V29",70661-1
7170,70661,https://www.lego.com/biassets/bi/6270620.pdf,https://www.lego.com/biassets/biimg/6270620.png,Spinjitzu Zane,"BI 3001/32, 70661 V39",70661-1
7171,70662,https://www.lego.com/biassets/bi/6270621.pdf,https://www.lego.com/biassets/biimg/6270621.png,Spinjitzu Cole,"BI 3001/32, 70662 V29",70662-1
7172,70662,https://www.lego.com/biassets/bi/6270622.pdf,https://www.lego.com/biassets/biimg/6270622.png,Spinjitzu Cole,"BI 3001/32, 70662 V39",70662-1
7173,70663,https://www.lego.com/biassets/bi/6270623.pdf,https://www.lego.com/biassets/biimg/6270623.png,Spinjitzu Nya & Wu,"BI 3010/56-65, 70663 V29",70663-1
7174,70663,https://www.lego.com/biassets/bi/6270627.pdf,https://www.lego.com/biassets/biimg/6270627.png,Spinjitzu Nya & Wu,"BI 3010/56-65, 70663 V39",70663-1
7175,70664,https://www.lego.com/biassets/bi/6270628.pdf,https://www.lego.com/biassets/biimg/6270628.png,Spinjitzu Lloyd vs. Garmadon,"BI 3010/ 52-65, 70664 V29",70664-1
7176,70664,https://www.lego.com/biassets/bi/6270629.pdf,https://www.lego.com/biassets/biimg/6270629.png,Spinjitzu Lloyd vs. Garmadon,"BI 3010/ 52-65, 70664 V39",70664-1
7177,70665,https://www.lego.com/biassets/bi/6268218.pdf,https://www.lego.com/biassets/biimg/6268218.png,The Samurai Mech,"BI 3003/48/65G, 70665 V29",70665-1
7178,70665,https://www.lego.com/biassets/bi/6268219.pdf,https://www.lego.com/biassets/biimg/6268219.png,The Samurai Mech,"BI 3003/48/65G, 70665 V39",70665-1
7179,70666,https://www.lego.com/biassets/bi/6268226.pdf,https://www.lego.com/biassets/biimg/6268226.png,The Golden Dragon,"BI 3003, 60/65G, 70666 V29",70666-1
7180,70666,https://www.lego.com/biassets/bi/6268227.pdf,https://www.lego.com/biassets/biimg/6268227.png,The Golden Dragon,"BI 3003, 60/65G, 70666 V39",70666-1
7181,70667,https://www.lego.com/biassets/bi/6268233.pdf,https://www.lego.com/biassets/biimg/6268233.png,Kai's Blade Cycle & Zane's Snowmobile,"BI 3004/76+4, 70667 1/2 V29",70667-1
7182,70667,https://www.lego.com/biassets/bi/6268235.pdf,https://www.lego.com/biassets/biimg/6268235.png,Kai's Blade Cycle & Zane's Snowmobile,"BI 3004/76+4, 70667 1/2 V39",70667-1
7183,70667,https://www.lego.com/biassets/bi/6268236.pdf,https://www.lego.com/biassets/biimg/6268236.png,Kai's Blade Cycle & Zane's Snowmobile,"BI 3004/48, 70667 2/2 V29",70667-1
7184,70667,https://www.lego.com/biassets/bi/6268237.pdf,https://www.lego.com/biassets/biimg/6268237.png,Kai's Blade Cycle & Zane's Snowmobile,"BI 3004/48, 70667 2/2 V39",70667-1
7185,70668,https://www.lego.com/biassets/bi/6268238.pdf,https://www.lego.com/biassets/biimg/6268238.png,Jay's Storm Fighter,"BI 3017/136+4/65+200G, 70668 V29",70668-1
7186,70668,https://www.lego.com/biassets/bi/6268242.pdf,https://www.lego.com/biassets/biimg/6268242.png,Jay's Storm Fighter,"BI 3017/136+4/65+200G, 70668 V39",70668-1
7187,70669,https://www.lego.com/biassets/bi/6268246.pdf,https://www.lego.com/biassets/biimg/6268246.png,Cole's Earth Driller,"BI 3017/48/65G, 70669 1/2 V29",70669-1
7188,70669,https://www.lego.com/biassets/bi/6268247.pdf,https://www.lego.com/biassets/biimg/6268247.png,Cole's Earth Driller,"BI 3017/48/65G, 70669 1/2 V39",70669-1
7189,70669,https://www.lego.com/biassets/bi/6268248.pdf,https://www.lego.com/biassets/biimg/6268248.png,Cole's Earth Driller,"BI 3017, 80+4/65+115G, 70669 2/2 V29",70669-1
7190,70669,https://www.lego.com/biassets/bi/6268249.pdf,https://www.lego.com/biassets/biimg/6268249.png,Cole's Earth Driller,"BI 3017, 80+4/65+115G, 70669 2/2 V39",70669-1
7191,70670,https://www.lego.com/biassets/bi/6284195.pdf,https://www.lego.com/biassets/biimg/6284195.png,Monastery of Spinjitzu,"BI 3019, 184+4/65+200G, 70670 V29",70670-1
7192,70670,https://www.lego.com/biassets/bi/6284196.pdf,https://www.lego.com/biassets/biimg/6284196.png,Monastery of Spinjitzu,"BI 3019, 184+4/65+200G, 70670 V39",70670-1
7193,70679,https://www.lego.com/biassets/bi/6268252.pdf,https://www.lego.com/biassets/biimg/6268252.png,The Ultra Dragon,"BI 3019/156+4/65+200G, 70679 V29",70679-1
7194,70679,https://www.lego.com/biassets/bi/6268253.pdf,https://www.lego.com/biassets/biimg/6268253.png,The Ultra Dragon,"BI 3019/156+4/65+200G, 70679 V39",70679-1
7195,70680,https://www.lego.com/biassets/bi/6268254.pdf,https://www.lego.com/biassets/biimg/6268254.png,Monastery Training,"BI 3003/40/65G, 70680 V29",70680-1
7196,70680,https://www.lego.com/biassets/bi/6268255.pdf,https://www.lego.com/biassets/biimg/6268255.png,Monastery Training,"BI 3003/40/65G, 70680 V39",70680-1
7197,70700,https://www.lego.com/biassets/bi/6036338.pdf,https://www.lego.com/biassets/biimg/6036338.png,Space Swarmer,BI 3003/24 - 70700 V29,70700-1
7198,70700,https://www.lego.com/biassets/bi/6036339.pdf,https://www.lego.com/biassets/biimg/6036339.png,Space Swarmer,BI 3003/24 - 70700 V39,70700-1
7199,70701,https://www.lego.com/biassets/bi/6036716.pdf,https://www.lego.com/biassets/biimg/6036716.png,Swarm Interceptor,BI 3004/68+4*- 70701 V39,70701-1
7200,70701,https://www.lego.com/biassets/bi/6036709.pdf,https://www.lego.com/biassets/biimg/6036709.png,Swarm Interceptor,BI 3004/68+4*- 70701 V29,70701-1
7201,70702,https://www.lego.com/biassets/bi/6036722.pdf,https://www.lego.com/biassets/biimg/6036722.png,Warp Stinger,BI 3017 / 60 - 70702 V39,70702-1
7202,70702,https://www.lego.com/biassets/bi/6036721.pdf,https://www.lego.com/biassets/biimg/6036721.png,Warp Stinger,BI 3017 / 60 - 70702 V29,70702-1
7203,70703,https://www.lego.com/biassets/bi/6036762.pdf,https://www.lego.com/biassets/biimg/6036762.png,Star Slicer,BI 3017 / 76+4 - 70703 V29,70703-1
7204,70703,https://www.lego.com/biassets/bi/6036763.pdf,https://www.lego.com/biassets/biimg/6036763.png,Star Slicer,BI 3017 / 76+4 - 70703 V39,70703-1
