setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
27665,10713,1,Creative Suitcase,2018,Classic,Basic,,213,,true,10713-1,https://images.brickset.com/sets/small/10713-1.jpg,https://images.brickset.com/sets/small/10713-1.jpg,https://images.brickset.com/sets/images/10713-1.jpg,https://brickset.com/sets/10713-1,true,false,false,0,0,476,176,17.99,19.99,24.99,19.99,2018-01-01,,0,0,Plastic box,Retail,2,13,,,,,,,Normal,0,,,2018-01-02T11:59:40.95
27666,10714,1,Blue Baseplate,2018,Classic,Basic,,1,,true,10714-1,https://images.brickset.com/sets/small/10714-1.jpg,https://images.brickset.com/sets/small/10714-1.jpg,https://images.brickset.com/sets/images/10714-1.jpg,https://brickset.com/sets/10714-1,true,false,false,0,0,1460,464,6.99,7.99,9.99,7.99,2018-01-01,,0,0,{Not specified},Retail,0,3,,,,,,,Normal,0,,,2018-01-02T12:00:13.117
27667,10715,1,Bricks on a Roll,2018,Classic,Basic,,442,,true,10715-1,https://images.brickset.com/sets/small/10715-1.jpg,https://images.brickset.com/sets/small/10715-1.jpg,https://images.brickset.com/sets/images/10715-1.jpg,https://brickset.com/sets/10715-1,true,false,false,0,0,1055,234,19.99,,,24.99,,,5,1,Box,Retail,2,10,,,,,,,Normal,0,,,2018-01-02T12:00:58.397
28086,10717,1,Extra Large Brick Box,2018,Classic,Basic,,1500,,true,10717-1,https://images.brickset.com/sets/small/10717-1.jpg,https://images.brickset.com/sets/small/10717-1.jpg,https://images.brickset.com/sets/images/10717-1.jpg,https://brickset.com/sets/10717-1,true,false,false,0,0,417,249,49.99,59.99,79.99,59.99,2018-08-01,,0,0,Box,Retail - limited,2,5,,,,,,,Normal,0,,,2018-05-16T15:58:37.863
28506,11001,1,Bricks and Ideas,2019,Classic,Basic,,,,true,11001-1,https://images.brickset.com/sets/small/11001-1.jpg,https://images.brickset.com/sets/small/11001-1.jpg,https://images.brickset.com/sets/images/11001-1.jpg,https://brickset.com/sets/11001-1,true,false,false,0,0,17,106,8.99,9.99,13.99,9.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,,,,,,,Normal,0,,,2018-11-29T11:27:44.043
28505,11002,1,Basic Brick Set,2019,Classic,Basic,,,,true,11002-1,https://images.brickset.com/sets/small/11002-1.jpg,https://images.brickset.com/sets/small/11002-1.jpg,https://images.brickset.com/sets/images/11002-1.jpg,https://brickset.com/sets/11002-1,true,false,false,0,0,10,90,17.99,19.99,24.99,19.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,,,,,,,Normal,0,,,2018-11-29T11:28:10.527
28504,11003,1,Bricks and Eyes,2019,Classic,Basic,,,,true,11003-1,https://images.brickset.com/sets/small/11003-1.jpg,https://images.brickset.com/sets/small/11003-1.jpg,https://images.brickset.com/sets/images/11003-1.jpg,https://brickset.com/sets/11003-1,true,false,false,0,0,10,140,24.99,29.99,39.99,29.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,,,,,,,Normal,0,,,2018-11-29T11:28:21.99
28603,11005,1,Creative Fun,2019,Classic,Basic,,900,,true,11005-1,https://images.brickset.com/sets/small/11005-1.jpg,https://images.brickset.com/sets/small/11005-1.jpg,https://images.brickset.com/sets/images/11005-1.jpg,https://brickset.com/sets/11005-1,true,false,false,0,0,9,82,29.99,39.99,49.99,34.99,2019-01-02,,0,0,Box,{Not specified},2,7,,,,,,,Normal,0,,,2018-12-24T16:03:28.767
27896,30541,1,Build a Duck,2018,Classic,Basic,,10,,true,30541-1,https://images.brickset.com/sets/small/30541-1.jpg,https://images.brickset.com/sets/small/30541-1.jpg,https://images.brickset.com/sets/images/30541-1.jpg,https://brickset.com/sets/30541-1,true,false,false,0,0,603,105,,,,,,,4.5,2,Polybag,{Not specified},2,5,,,,,,,Normal,0,,,2018-11-02T21:43:07.003
27589,66557,1,Classic Quad Pack,2017,Classic,Basic,Product Collection,259,,false,,,,,https://brickset.com/sets/66557-1,true,false,false,0,0,8,26,,,,,,,0,0,{Not specified},{Not specified},0,0,,,,,,,Collection,0,,,2017-10-04T08:51:43.22
27900,4000028,1,House,2018,Classic,Basic,,64,,true,4000028-1,https://images.brickset.com/sets/small/4000028-1.jpg,https://images.brickset.com/sets/small/4000028-1.jpg,https://images.brickset.com/sets/images/4000028-1.jpg,https://brickset.com/sets/4000028-1,true,false,false,0,0,233,390,,,,,,,0,0,Box,Retail - limited,0,0,,,,,,,Normal,0,,,2018-01-26T08:37:24.687
27901,4000029,1,Windmill,2018,Classic,Basic,,45,,true,4000029-1,https://images.brickset.com/sets/small/4000029-1.jpg,https://images.brickset.com/sets/small/4000029-1.jpg,https://images.brickset.com/sets/images/4000029-1.jpg,https://brickset.com/sets/4000029-1,true,false,false,0,0,237,350,,,,,,,2,1,Box,Retail - limited,0,0,,,,,,,Normal,0,,,2018-01-26T08:36:43.977
27902,4000030,1,Truck,2018,Classic,Basic,,44,,true,4000030-1,https://images.brickset.com/sets/small/4000030-1.jpg,https://images.brickset.com/sets/small/4000030-1.jpg,https://images.brickset.com/sets/images/4000030-1.jpg,https://brickset.com/sets/4000030-1,true,false,false,0,0,252,355,,,,,,,0,0,Box,{Not specified},0,0,,,,,,,Normal,0,,,2018-02-16T09:24:48.11
