setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
9154,4202,1,Mining Truck,2012,City,Modern day,Mining,269,1,true,4202-1,https://images.brickset.com/sets/small/4202-1.jpg,https://images.brickset.com/sets/small/4202-1.jpg,https://images.brickset.com/sets/images/4202-1.jpg,https://brickset.com/sets/4202-1,true,false,false,0,0,4539,2211,19.99,34.99,44.99,,2012-06-02,2012-11-17,4,5,Box,Retail,2,5,5,12,26.19,38.2,7.06,0.69,Normal,0,5.70201E+12,6.73419E+11,2012-04-12T08:07:16.623
9155,4203,1,Excavator Transporter,2012,City,Modern day,Mining,305,2,true,4203-1,https://images.brickset.com/sets/small/4203-1.jpg,https://images.brickset.com/sets/small/4203-1.jpg,https://images.brickset.com/sets/images/4203-1.jpg,https://brickset.com/sets/4203-1,true,false,false,0,0,5510,1983,24.99,39.99,49.99,,2012-06-02,2014-11-23,5,1,Box,Retail,6,6,5,12,26.2,38.2,7.1,0.68,Normal,0,5.70201E+12,6.73419E+11,2012-05-28T03:28:46.867
9156,4204,1,The Mine,2012,City,Modern day,Mining,748,4,true,4204-1,https://images.brickset.com/sets/small/4204-1.jpg,https://images.brickset.com/sets/small/4204-1.jpg,https://images.brickset.com/sets/images/4204-1.jpg,https://brickset.com/sets/4204-1,true,false,false,0,0,5211,2692,69.99,99.99,119.99,,2012-06-02,2014-11-29,4.6,5,Box,Retail,12,8,6,12,37.8,58.2,8.7,1.74,Normal,0,5.70201E+12,6.73419E+11,2012-08-11T21:44:55.973
8974,4205,1,Off-Road Command Centre,2012,City,Modern day,Forest Police,403,3,true,4205-1,https://images.brickset.com/sets/small/4205-1.jpg,https://images.brickset.com/sets/small/4205-1.jpg,https://images.brickset.com/sets/images/4205-1.jpg,https://brickset.com/sets/4205-1,true,false,false,0,0,1647,1878,34.99,39.99,49.99,,2011-12-15,2012-09-11,5,1,Box,Retail - limited,6,17,5,12,,,,,Normal,0,5.70201E+12,,2015-12-19T21:13:27.007
9078,4206,2,Recycling Truck,2012,City,Modern day,Traffic,297,3,true,4206-2,https://images.brickset.com/sets/small/4206-2.jpg,https://images.brickset.com/sets/small/4206-2.jpg,https://images.brickset.com/sets/images/4206-2.jpg,https://brickset.com/sets/4206-2,true,false,false,0,0,5075,2963,24.99,29.99,39.99,,2012-01-04,2012-09-14,4.666666667,3,Box,Retail - limited,4,7,5,12,,,,,Normal,0,5.70201E+12,,2015-12-19T21:13:44.613
9404,4207,1,City Garage,2012,City,Modern day,Traffic,933,5,true,4207-1,https://images.brickset.com/sets/small/4207-1.jpg,https://images.brickset.com/sets/small/4207-1.jpg,https://images.brickset.com/sets/images/4207-1.jpg,https://brickset.com/sets/4207-1,true,false,false,0,0,3109,3067,79.99,119.99,149.99,,2012-07-24,2014-01-11,4.428571429,7,Box,Retail - limited,10,8,6,12,,,,,Normal,0,5.70201E+12,,2015-12-19T21:14:02.75
8916,4208,1,Fire Truck,2012,City,Modern day,Forest Fire,243,1,true,4208-1,https://images.brickset.com/sets/small/4208-1.jpg,https://images.brickset.com/sets/small/4208-1.jpg,https://images.brickset.com/sets/images/4208-1.jpg,https://brickset.com/sets/4208-1,true,false,false,0,0,4932,1435,17.99,19.99,24.99,,2011-12-15,2012-11-23,4.25,4,Box,Retail,2,11,5,12,19.1,35.41,5.89,0.44,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:18:42.22
8915,4209,1,Fire Plane,2012,City,Modern day,Forest Fire,522,3,true,4209-1,https://images.brickset.com/sets/small/4209-1.jpg,https://images.brickset.com/sets/small/4209-1.jpg,https://images.brickset.com/sets/images/4209-1.jpg,https://brickset.com/sets/4209-1,true,false,false,0,0,3495,1854,39.99,59.99,74.99,,2011-12-15,2013-11-29,4.25,4,Box,Retail,4,18,6,12,28.2,54,5.9,1.02,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:18:43.033
6443,4210,1,Coast Guard Platform,2008,City,Modern day,Coast Guard,469,4,true,4210-1,https://images.brickset.com/sets/small/4210-1.jpg,https://images.brickset.com/sets/small/4210-1.jpg,https://images.brickset.com/sets/images/4210-1.jpg,https://brickset.com/sets/4210-1,true,false,false,0,0,1670,2625,43.99,49.99,,,2008-10-19,2009-03-17,4.666666667,9,Box,Retail,2,5,,,,,,,Normal,0,,,2008-06-21T14:39:44
8917,4427,1,Fire ATV,2012,City,Modern day,Forest Fire,50,1,true,4427-1,https://images.brickset.com/sets/small/4427-1.jpg,https://images.brickset.com/sets/small/4427-1.jpg,https://images.brickset.com/sets/images/4427-1.jpg,https://brickset.com/sets/4427-1,true,false,false,0,0,5518,987,3.99,5.99,7.99,,2011-12-15,2012-11-19,4.222222222,9,Box,Retail,2,13,5,12,9.09,12.19,5.84,0.07,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:18:43.987
