ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
5435,6332,https://www.lego.com/biassets/bi/4115462.pdf,https://www.lego.com/biassets/biimg/4115462.png,Police Headquarters,BUILD.INS.6332 HELICOPTER 4/7,6332-1,police
5436,6332,https://www.lego.com/biassets/bi/4115463.pdf,https://www.lego.com/biassets/biimg/4115463.png,Police Headquarters,BUILD.INS.6332 POLICE CAR 5/7,6332-1,police
5437,6332,https://www.lego.com/biassets/bi/4115464.pdf,https://www.lego.com/biassets/biimg/4115464.png,Police Headquarters,BUILD.INS.6332 POLICE MC 6/7,6332-1,police
5438,6332,https://www.lego.com/biassets/bi/4115465.pdf,https://www.lego.com/biassets/biimg/4115465.png,Police Headquarters,BUILD.INS. 6332 SIDE WING 7/7,6332-1,police
5473,6433,https://www.lego.com/biassets/bi/4123537.pdf,https://www.lego.com/biassets/biimg/4123537.png,Police Harbour Patrol,BUILD.INST.6433 POLICEBOAT 1/2,6433-1,police
5474,6433,https://www.lego.com/biassets/bi/4123538.pdf,https://www.lego.com/biassets/biimg/4123538.png,Police Harbour Patrol,BUI.IN.6433 UPPER BRIDGE 2/2,6433-1,police
5547,6483,https://www.lego.com/biassets/bi/877007.pdf,https://www.lego.com/biassets/biimg/877007.png,POLICE BOAT WITH ES,No longer listed at LEGO.com,6483-1,police
5615,6598,https://www.lego.com/biassets/bi/4103739.pdf,https://www.lego.com/biassets/biimg/4103739.png,POLICE STATION,BUILDING INSTR. 6598 IN,6598-1,police
5632,6636,https://www.lego.com/biassets/bi/4193420.pdf,https://www.lego.com/biassets/biimg/4193420.png,POLICE HEADQUARTER,BI 6636 HOVEDBYGNING 1/7,6636-1,police
5633,6636,https://www.lego.com/biassets/bi/4193427.pdf,https://www.lego.com/biassets/biimg/4193427.png,POLICE HEADQUARTER,BI 6636 FÆNGSEL 3/7,6636-1,police
5634,6636,https://www.lego.com/biassets/bi/4193429.pdf,https://www.lego.com/biassets/biimg/4193429.png,POLICE HEADQUARTER,BI 6636 POLICE MOTOR CYCLE 6/7,6636-1,police
5635,6636,https://www.lego.com/biassets/bi/4193432.pdf,https://www.lego.com/biassets/biimg/4193432.png,POLICE HEADQUARTER,BI 6636 SIDEBYGNING 7/7,6636-1,police
5636,6636,https://www.lego.com/biassets/bi/4193246.pdf,https://www.lego.com/biassets/biimg/4193246.png,POLICE HEADQUARTER,BI 6636 HELIKOPTERPLATFORM 2/7,6636-1,police
5637,6636,https://www.lego.com/biassets/bi/4193247.pdf,https://www.lego.com/biassets/biimg/4193247.png,POLICE HEADQUARTER,BI 6636 HELICOPTER 4/7,6636-1,police
5638,6636,https://www.lego.com/biassets/bi/4193248.pdf,https://www.lego.com/biassets/biimg/4193248.png,POLICE HEADQUARTER,BI 6636 POLICE CAR 5/7,6636-1,police
4141,7031,https://www.lego.com/biassets/bi/4209780.pdf,https://www.lego.com/biassets/biimg/4209780.png,Police Helicopter,BI 7031,7031-1,police
4145,7035,https://www.lego.com/biassets/bi/4209791.pdf,https://www.lego.com/biassets/biimg/4209791.png,Police HQ,BI 7035,7035-1,police
4361,7235,https://www.lego.com/biassets/bi/4269708.pdf,https://www.lego.com/biassets/biimg/4269708.png,Police Motorcycle,"BI, 7235 NA",7235-1,police
