ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
2618,7726,https://www.lego.com/biassets/bi/4533552.pdf,https://www.lego.com/biassets/biimg/4533552.png,Coast Guard Truck with Speed Boat,"BUILD INSTR 3005, 7726 1/2",7726-1,coastguard
2619,7726,https://www.lego.com/biassets/bi/4533555.pdf,https://www.lego.com/biassets/biimg/4533555.png,Coast Guard Truck with Speed Boat,"BUILD INSTR 3004, 7726 2/2 IN",7726-1,coastguard
2620,7726,https://www.lego.com/biassets/bi/4533560.pdf,https://www.lego.com/biassets/biimg/4533560.png,Coast Guard Truck with Speed Boat,"BUILD INSTR 3004, 7726 2/2 NA",7726-1,coastguard
2635,7736,https://www.lego.com/biassets/bi/4536810.pdf,https://www.lego.com/biassets/biimg/4536810.png,Coast Guard Quad Bike,"BUILD INSTR 3001, 7736 IN",7736-1,coastguard
2636,7736,https://www.lego.com/biassets/bi/4536815.pdf,https://www.lego.com/biassets/biimg/4536815.png,Coast Guard Quad Bike,"BUILD INSTR 3001, 7736 NA",7736-1,coastguard
2637,7737,https://www.lego.com/biassets/bi/4536328.pdf,https://www.lego.com/biassets/biimg/4536328.png,Coast Guard 4WD & Jet Scooter,"BUILD INSTR 3003, 7737 IN",7737-1,coastguard
2638,7737,https://www.lego.com/biassets/bi/4536329.pdf,https://www.lego.com/biassets/biimg/4536329.png,Coast Guard 4WD & Jet Scooter,"BUILD INSTR 3003, 7737 NA",7737-1,coastguard
2639,7737,https://www.lego.com/biassets/bi/4536330.pdf,https://www.lego.com/biassets/biimg/4536330.png,Coast Guard 4WD & Jet Scooter,"BUILD INSTR 2002, 7737",7737-1,coastguard
2640,7738,https://www.lego.com/biassets/bi/4536841.pdf,https://www.lego.com/biassets/biimg/4536841.png,Coast Guard Helicopter & Life Raft,"BUILD INSTR 3001, 7738 1/2",7738-1,coastguard
2641,7738,https://www.lego.com/biassets/bi/4536843.pdf,https://www.lego.com/biassets/biimg/4536843.png,Coast Guard Helicopter & Life Raft,"BUILD INSTR 3005, 7738 IN 2/2",7738-1,coastguard
2642,7738,https://www.lego.com/biassets/bi/4536846.pdf,https://www.lego.com/biassets/biimg/4536846.png,Coast Guard Helicopter & Life Raft,"BUILD INSTR 3005, 7738 NA 2/2",7738-1,coastguard
2643,7739,https://www.lego.com/biassets/bi/4533846.pdf,https://www.lego.com/biassets/biimg/4533846.png,Coast Guard Patrol Boat & Tower,"BUILD INSTR 3006, 7739 1/2 IN",7739-1,coastguard
2644,7739,https://www.lego.com/biassets/bi/4533848.pdf,https://www.lego.com/biassets/biimg/4533848.png,Coast Guard Patrol Boat & Tower,"BUILD INSTR 3006, 7739 1/2 NA",7739-1,coastguard
2645,7739,https://www.lego.com/biassets/bi/4533849.pdf,https://www.lego.com/biassets/biimg/4533849.png,Coast Guard Patrol Boat & Tower,"BUILD INSTR 3006, 7739 2/2",7739-1,coastguard
6458,4898,https://www.lego.com/biassets/bi/4534640.pdf,https://www.lego.com/biassets/biimg/4534640.png,Coastguard Boat,"BUILD. INSTR. 2001, 4898 IN",4898-1,coastguard
6794,10261,https://www.lego.com/biassets/bi/6244855.pdf,https://www.lego.com/biassets/biimg/6244855.png,Roller Coaster,"BI 3016, 176+4/65+200G, 10261 1/2 V29",10261-1,coastguard
